,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
0,CAK 2303 ,CAK 2303 -1,Майки бельевые,CAK 2303 Майка детская,CAK 2303 Майка детская Белый (098-104)-56,Белый,(098-104)-56,498,83,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,21.912,
1,CSJ 62352,CAK 2303 -2,Лонгсливы,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (146)-76,Серый меланж,(146)-76,1,416,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э",,,Cherubino,0.182,Muzic Party
2,CSJ 62352,CAK 2303 -3,Лонгсливы,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (158)-80,Серый меланж,(158)-80,3,416,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э",,,Cherubino,0.546,Muzic Party
3,CSJ 62353,CAK 2303 -4,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Красный (134)-68,Красный,(134)-68,15,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,2.25,Muzic Party
4,CSJ 62353,CSJ 62352-1,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (134)-68,Синий,(134)-68,5,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.75,Muzic Party
5,CSJ 62353,CSJ 62352-2,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (152)-80,Синий,(152)-80,12,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,1.8,Muzic Party
6,CSJ 62353,CSJ 62352-3,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (164)-84,Синий,(164)-84,4,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.6,Muzic Party
7,CSJ 62380,CSJ 62352-4,Лонгсливы,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (134)-68,Бирюзовый,(134)-68,4,350,Женский,"кулирная гладь, 97% хлопок, 3% п/э",,,Cherubino,0.572,Girl Power
8,CSJ 62382,CSJ 62352-5,Платья,"CSJ 62382 (232) Платье типа ""туника"" для девочки","CSJ 62382 (232) Платье типа ""туника"" для девочки Арбузный (128)-64",Арбузный,(128)-64,1,288,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.137,Girl Power
9,CSK 62338,CSJ 62352-6,Лонгсливы,CSK 62338 (228) Джемпер для мальчика,CSK 62338 (228) Джемпер для мальчика Черный (104)-56,Черный,(104)-56,1,325,Мужской,"футер петля, 100% хлопок",,,Cherubino,0.166,Sport Spirit
10,CSK 62338,CSJ 62352-7,Лонгсливы,CSK 62338-1 (228) Джемпер для мальчика,CSK 62338-1 (228) Джемпер для мальчика Т.серый меланж (122)-64,Т.серый меланж,(122)-64,1,325,Мужской,"футер петля, 70% хлопок, 30% п/э",,,Cherubino,0.164,Sport Spirit
11,CSK 62339,CSJ 62352-8,Лонгсливы,CSK 62339 (228) Джемпер для мальчика,CSK 62339 (228) Джемпер для мальчика Серый меланж (098)-56,Серый меланж,(098)-56,1,220,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э",,,Cherubino,0.118,Sport Spirit
12,CSK 62340,CSJ 62352-9,Лонгсливы,CSK 62340 (228) Джемпер для мальчика,CSK 62340 (228) Джемпер для мальчика Красный (092)-52,Красный,(092)-52,2,214,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.196,Sport Spirit
13,CSK 62373,CSJ 62352-10,Лонгсливы,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Арбузный (104)-56,Арбузный,(104)-56,4,242,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.464,Girl Power
14,CSK 62373,CSJ 62352-11,Лонгсливы,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Морская волна (110)-60,Морская волна,(110)-60,5,242,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.58,Girl Power
15,CSK 7861,CSJ 62353-1,Брюки,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (104)-56,Морская волна,(104)-56,4,368,Женский,"футер петля, 75% хлопок, 25% п/э",,,Cherubino,0.752,Girl Power
