,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
0,CAK 2303 ,CAK2303/,CAK 2303 Майка детская,CAK 2303 Майка детская Белый (098-104)-56,Белый,(098-104)-56,498,Мужской,"кулирная гладь, 100% хлопок"
1,CSJ 62352 (236) ,CSJ62352(236)/,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (146)-76,Серый меланж,(146)-76,1,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
2,CSJ 62352 (236) ,CSJ62352(236)/,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (158)-80,Серый меланж,(158)-80,3,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
3,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Красный (134)-68,Красный,(134)-68,15,Мужской,"кулирная гладь, 100% хлопок"
4,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (134)-68,Синий,(134)-68,5,Мужской,"кулирная гладь, 100% хлопок"
5,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (152)-80,Синий,(152)-80,12,Мужской,"кулирная гладь, 100% хлопок"
6,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (164)-84,Синий,(164)-84,4,Мужской,"кулирная гладь, 100% хлопок"
7,CSJ 62380 (232) ,CSJ62380(232)/,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (134)-68,Бирюзовый,(134)-68,4,Женский,"кулирная гладь, 97% хлопок, 3% п/э"
8,CSJ 62382 (232),CSJ62382(232)/,"CSJ 62382 (232) Платье типа ""туника"" для девочки","CSJ 62382 (232) Платье типа ""туника"" для девочки Арбузный (128)-64",Арбузный,(128)-64,1,Женский,"кулирная гладь, 100% хлопок"
9,CSK 62338 (228) ,CSK62338(228)/,CSK 62338 (228) Джемпер для мальчика,CSK 62338 (228) Джемпер для мальчика Черный (104)-56,Черный,(104)-56,1,Мужской,"футер петля, 100% хлопок"
